vlc-plugin-dbus-screensaver 3.0.23_2-12
vlc-plugin-faad2 3.0.23_2-12
vlc-plugin-ffmpeg 3.0.23_2-12
vlc-plugin-flac 3.0.23_2-12
vlc-plugin-gnutls 3.0.23_2-12
vlc-plugin-inflate 3.0.23_2-12
vlc-plugin-journal 3.0.23_2-12
vlc-plugin-jpeg 3.0.23_2-12
vlc-plugin-lua 3.0.23_2-12
vlc-plugin-matroska 3.0.23_2-12
vlc-plugin-mpg123 3.0.23_2-12
vlc-plugin-ogg 3.0.23_2-12
vlc-plugin-opus 3.0.23_2-12
vlc-plugin-png 3.0.23_2-12
vlc-plugin-pulse 3.0.23_2-12
vlc-plugin-shout 3.0.23_2-12
vlc-plugin-speex 3.0.23_2-12
vlc-plugin-tag 3.0.23_2-12
vlc-plugin-theora 3.0.23_2-12
vlc-plugin-twolame 3.0.23_2-12
vlc-plugin-vorbis 3.0.23_2-12
vlc-plugin-vpx 3.0.23_2-12
vlc-plugin-xml 3.0.23_2-12
vlc-plugins-base 3.0.23_2-12
vlc-plugins-video-output 3.0.23_2-12
vmaf 3.2.0-1
volume_key 0.3.12-12
vulkan-icd-loader 1.4.357.0-1
vulkan-intel 1:26.2.1-1
vulkan-mesa-implicit-layers 1:26.2.1-1
vulkan-nouveau 1:26.2.1-1
vulkan-radeon 1:26.2.1-1
waybar 0.15.0-2
wayland 1.26.0-1
wayland-protocols 1.49-1
webkit2gtk-4.1 2.52.6-1
webrtc-audio-processing-1 1.3-5
wget 1.25.0-6
which 2.25-1
wireless_tools 30.pre9-5
wireplumber 0.5.15-1
wl-clipboard 1:2.3.0-1
woff2 1.0.2-6
wofi 1.5.3-1
wpa_supplicant 2:2.12-1
x264 3:0.165.r3222.b35605a-2
x265 4.3-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-dbus-proxy 0.1.8-1
xdg-desktop-portal 1.22.1-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.4.1-1
xdg-user-dirs 0.20-1
xdg-utils 1.2.1-2
xfconf 4.20.0-2
xkeyboard-config 2.48-1
xmlsec 1.3.12-1
xorg-fonts-encodings 1.1.0-2
xorg-server-common 21.1.24-1
xorg-setxkbmap 1.3.5-1
xorg-xkbcomp 1.5.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.4-1
xorg-xwayland 24.1.13-1
xorgproto 2025.1-1
xvidcore 1.3.7-4
